Animal_Age_Group,Animal_Gender,ZMusic_Usage_Period,Z_Device,ZMusic_Plan,ZPremium_Willingness,Preferred_ZPremium,Preferred_ZContent,Fav_ZMusic_Genre,ZMusic_Time_Slot,Z_Mental_Health_Mood,ZMusic_Listening_Frequency,ZMusic_Discovery_Method,ZMusic_Recommendation_Rating,ZPodcast_Listening_Frequency,Fav_ZPodcast_Genre,Preferred_ZPodcast_Format,ZPodcast_Host_Preference,Preferred_ZPodcast_Duration,Z_Life_Satisfaction
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,,4.0,Rarely,Lifestyle and Health,Interview,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",4.0,Rarely,Lifestyle and Health,Educational,Both,Both,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,classical,Night,Relaxation and stress relief,"Office hours, While Traveling",Playlists,4.0,Rarely,Comedy,Conversational,None,Shorter,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,Others,4.0,Never,None,None,None,None,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,4.0,Never,None,Conversational,None,Shorter,Ok
20-35,Female,,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4.0,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,recommendations,3.0,Rarely,Health and Fitness,Educational,Both,Shorter,Satisfied
12-20,Others,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sadness or melancholy,leisure time,Others,2.0,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
12-20,Female,1 year to 2 years,Computer or laptop,Premium (paid subscription),No,Individual Plan- Rs 119/ month,Music,classical,Morning,Relaxation and stress relief,Study Hours,Playlists,2.0,Once a week,Health and Fitness,Interview,Well known individuals,Both,Ok
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, While Traveling",Playlists,2.0,Several times a week,Comedy,Educational,Both,Longer,Satisfied
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Rap,,Sadness or melancholy,While Traveling,Radio,2.0,Several times a week,Sports,Conversational,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,Uplifting and motivational,While Traveling,Radio,4.0,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,2.0,Once a week,Health and Fitness,Interview,Both,Longer,Very Satisfied
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,2.0,Once a week,Health and Fitness,Interview,Both,Longer,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3.0,Once a week,Sports,Interview,Well known individuals,Longer,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2.0,Rarely,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
35-60,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),,Duo plan- Rs 149/month,Music,Rap,Afternoon,Sadness or melancholy,While Traveling,Others,3.0,Once a week,Health and Fitness,,Both,Both,Dissatisfied
35-60,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, Workout session","Playlists, Radio",3.0,Once a week,Sports,Interview,Both,Longer,Satisfied
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,Uplifting and motivational,Study Hours,Playlists,3.0,Rarely,Lifestyle and Health,Story telling,Both,Longer,Very Satisfied
20-35,Female,1 year to 2 years,Wearable devices,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Afternoon,Sadness or melancholy,Workout session,Radio,3.0,Rarely,Sports,Conversational,Both,,Satisfied
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Rap,Afternoon,Sadness or melancholy,Workout session,Radio,3.0,Rarely,Sports,Story telling,unknown Podcasters,Both,Satisfied
35-60,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,Melody,Morning,Uplifting and motivational,Workout session,Radio,4.0,Rarely,Lifestyle and Health,Interview,Well known individuals,Both,
20-35,Female,Less than 6 months,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,classical,Afternoon,Uplifting and motivational,Workout session,Others,2.0,Once a week,Sports,None,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Morning,,"Study Hours, leisure time","Playlists, Radio, Others",3.0,Once a week,Lifestyle and Health,Interview,Both,Both,Ok
20-35,Male,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,Radio,3.0,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, While Traveling",Playlists,3.0,Rarely,Sports,Conversational,Both,Both,Ok
12-20,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,Workout session,"Radio, Others",3.0,Rarely,Sports,Story telling,Well known individuals,Longer,Ok
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, leisure time","recommendations, Radio, Others",3.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Night,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, leisure time",Radio,3.0,Rarely,Sports,Story telling,,Both,Satisfied
12-20,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Rap,Afternoon,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, Workout session","Playlists, Radio, Others",2.0,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
12-20,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,Study Hours,Radio,3.0,Once a week,Comedy,Interview,unknown Podcasters,Both,Ok
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Afternoon,Uplifting and motivational,Workout session,Radio,3.0,Rarely,Sports,Story telling,unknown Podcasters,Longer,Very Satisfied
20-35,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,"Playlists, Radio",2.0,Several times a week,Comedy,Story telling,Both,Longer,Ok
20-35,Female,,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,classical,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session",,4.0,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Both,Dissatisfied
20-35,Female,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Melody,Afternoon,Sadness or melancholy,leisure time,Others,3.0,Rarely,Sports,Story telling,Both,Both,Ok
6-12,Others,More than 2 years,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Morning,Social gatherings or parties,Study Hours,Radio,3.0,Several times a week,Sports,Conversational,Well known individuals,Both,Satisfied
12-20,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,"Uplifting and motivational, Social gatherings or parties",While Traveling,Playlists,4.0,Rarely,Sports,Interview,Both,Both,Very Satisfied
6-12,Others,1 year to 2 years,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Workout session,Playlists,4.0,Rarely,Sports,Story telling,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,leisure time,Playlists,4.0,Rarely,Comedy,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,recommendations,3.0,Several times a week,Lifestyle and Health,Interview,Well known individuals,Longer,Ok
20-35,Male,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,Sadness or melancholy,While Traveling,,4.0,Rarely,Sports,Conversational,Both,Both,Satisfied
20-35,Female,,Computer or laptop,Free (ad-supported),,Duo plan- Rs 149/month,Podcast,classical,,Sadness or melancholy,"Study Hours, Workout session",Radio,3.0,Several times a week,Health and Fitness,Story telling,Both,Shorter,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Rap,Afternoon,Social gatherings or parties,While Traveling,Playlists,3.0,Once a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
,Female,6 months to 1 year,Smartphone,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting and motivational,"Office hours, While Traveling","recommendations, Playlists, Others",4.0,Several times a week,Sports,Story telling,Both,Longer,Satisfied
12-20,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Radio,3.0,Once a week,Sports,Interview,Well known individuals,Both,Very Dissatisfied
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,None,Music,Pop,Afternoon,Sadness or melancholy,While Traveling,Others,3.0,Rarely,Health and Fitness,Interview,unknown Podcasters,Both,Ok
12-20,Others,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3.0,Rarely,,Story telling,unknown Podcasters,Longer,
12-20,Male,More than 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,classical,Afternoon,Relaxation and stress relief,Study Hours,Playlists,3.0,Several times a week,Health and Fitness,Story telling,Well known individuals,Longer,Very Satisfied
20-35,Female,1 year to 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Office hours, While Traveling","recommendations, Radio",3.0,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied
20-35,Male,Less than 6 months,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,classical,Morning,Uplifting and motivational,Workout session,Playlists,4.0,Rarely,Lifestyle and Health,Interview,unknown Podcasters,Both,Satisfied
20-35,Female,Less than 6 months,Computer or laptop,Free (ad-supported),,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Office hours, Study Hours, While Traveling","Playlists, Radio",3.0,Rarely,Health and Fitness,Conversational,unknown Podcasters,Both,Ok
12-20,Female,6 months to 1 year,Wearable devices,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation and stress relief,While Traveling,Playlists,2.0,,Sports,None,Well known individuals,Both,Ok
20-35,Female,,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, leisure time","recommendations, Others",4.0,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Study Hours,"recommendations, Playlists",5.0,Rarely,Comedy,Story telling,Both,Longer,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,Office hours,recommendations,4.0,Rarely,Educational ,Educational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session","recommendations, Others",4.0,Once a week,Stories ,Story telling,Both,Both,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Kpop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, leisure time","recommendations, Playlists, Others",4.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4.0,Rarely,None,Conversational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy",While Traveling,recommendations,5.0,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",,2.0,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3.0,Never,None,Story telling,Both,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Others",2.0,Several times a week,Comedy,Conversational,Both,Longer,Satisfied
20-35,Female,,,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours,Study Hours, While Traveling, leisure time","Playlists, Radio",3.0,Never,None,None,None,None,Ok
